Conta;Classificação;C5;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2025;01/02/2025
1029;Custos fixos;1029 - Seguro de Veiculos;-2.025 ;-2.119 ;-2.220 ;-2.119 ;-2.422 ;-2.220 ;-2.321 ;-2.385 ;-2.138 ;-1.987 ;-380 ;-615 
1030;Custos fixos;1030 - IPVA, Seguro Obrigatorio e Licenciamento; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-41 ;-8.078 
1031;Custos fixos;1031 - Multas de Transito; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1032;Custos variáveis;1032 - Pedagios; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-312 ;-239 
1036;Custos fixos;1036 - Despesas c/Locacao de Veiculos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1037;Custos fixos;1037 - Pesagem de Insumos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1038;Despesas Administrativas fixas;1038 - Combustiveis e Lubrificantes;-2.602 ;-2.723 ;-2.853 ;-2.723 ;-3.112 ;-2.853 ;-2.982 ;-3.064 ;-2.748 ;-2.554 ;-3.332 ;-5.559 
1039;Despesas Administrativas fixas;1039 - Manutencao de Veiculos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1040;Despesas Administrativas fixas;1040 - Pneus e Camaras; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1041;Despesas Administrativas fixas;1041 - Seguro de Veiculos;-1.084 ;-1.134 ;-1.188 ;-1.134 ;-1.296 ;-1.188 ;-1.242 ;-1.277 ;-1.145 ;-1.064 ;-937 ;-702 
1042;Despesas Administrativas fixas;1042 - IPVA, Seguro Obrigatorio e Licenciamento; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-16.004 
1043;Despesas Não Dedutíveis fixas;1043 - Multas de Transito; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1044;Despesas Administrativas fixas;1044 - Pedagios; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-57 ;-32 
1048;Despesas Administrativas fixas;1048 - Despesas c/Locacao de Veiculos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1062;Custos fixos;1062 - Aluguel de Veiculos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1063;Custos fixos;1063 - Alugueis e Locacoes;-52.998 ;-55.460 ;-58.101 ;-55.460 ;-63.382 ;-58.101 ;-60.741 ;-62.408 ;-55.960 ;-52.007 ;-26.534 ;-26.420 
1064;Custos fixos;1064 - Refeicao; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
