Conta;DRE1;C5;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/25;fev/25
1093;Despesas Administrativas fixas;1093 - Fretes e Carretos;-11,73 ;-14,19 ;-14,87 ;-16,81 ;-19,29 ;-17,64 ;-18,46 ;-19,19 ;-16,71 ;-16,76 ; -   ; -   
1120;Despesas Não Dedutíveis fixas;1120 - Multas/Infracoes Fiscais; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1129;Custos fixos;1129 - IRRF; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1147;Despesas Administrativas fixas;1147 - Seguro de Veiculos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1148;Despesas Administrativas fixas;1148 - Pneus e Camaras; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1149;Custos variáveis;1149 - Servico de Corretagem;-1.920,77 ;-2.331,97 ;-2.443,37 ;-2.760,82 ;-3.169,13 ;-2.898,06 ;-3.032,25 ;-3.152,22 ;-2.743,77 ;-2.753,67 ;-9.295,59 ;-6.915,46 
1151;Custos fixos;1151 - Seguro de Imoveis; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1152;Custos fixos;1152 - Aluguel;-22.356,86 ;-27.143,16 ;-28.439,72 ;-32.134,77 ;-36.887,33 ;-33.732,09 ;-35.294,07 ;-36.690,53 ;-31.936,35 ;-32.051,49 ;-23.068,24 ;-22.388,54 
1153;Despesas Administrativas fixas;1153 - Indenizacao Artigo 479 - CLT; 1.307,24 ; 1.393,98 ; 1.393,98 ; 1.393,98 ; 1.393,98 ; 1.393,98 ; 1.393,98 ; 1.393,98 ; 1.393,98 ; 1.393,98 ; -   ; -   
1157;Custos fixos;1157 - Pneus e Camaras; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1158;Despesas Comerciais / Logistica/ Expedição fixas;1158 - Material de Propaganda e Publicidade;-4.490,24 ;-4.554,07 ;-4.571,59 ;-4.621,56 ;-4.685,83 ;-4.643,17 ;-4.664,28 ;-4.683,18 ;-4.618,88 ;-4.620,44 ; -   ; -   
1159;Custos fixos;1159 - Material de Informatica;-366,17 ;-444,56 ;-465,80 ;-526,31 ;-604,15 ;-552,47 ;-578,06 ;-600,93 ;-523,07 ;-524,95 ;-1.316,17 ;-837,99 
1160;Despesas Administrativas fixas;1160 - Alimentacao do Trabalhador;-19.594,69 ;-41.997,30 ;-41.997,30 ;-41.997,30 ;-41.997,30 ;-41.997,30 ;-41.997,30 ;-41.997,30 ;-41.997,30 ;-41.997,30 ;-16.790,89 ;-17.684,78 
1162;Despesas Não Dedutíveis fixas;1162 - DAE GTA Integrados; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1164;Despesas Administrativas fixas;1164 - Provisao 13° Salarios;-9.710,20 ;-10.354,48 ;-10.354,48 ;-10.354,48 ;-10.354,48 ;-10.354,48 ;-10.354,48 ;-10.354,48 ;-10.354,48 ;-10.354,48 ;-10.348,20 ;-10.933,51 
1165;Custos fixos;1165 - Provisao 13° Salarios;-47.884,49 ;-42.180,27 ;-42.180,27 ;-42.180,27 ;-42.180,27 ;-42.180,27 ;-42.180,27 ;-42.180,27 ;-42.180,27 ;-42.180,27 ;-50.053,79 ;-48.085,91 
1166;Despesas Financeiras Tributárias;1166 - Juros/Multa Sobre Tributos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-265.092,96 ;-40.464,22 
1169;Custos variáveis;1169 - Taxa de GTA;-1.493,90 ;-1.813,72 ;-1.900,36 ;-2.147,27 ;-2.464,84 ;-2.254,00 ;-2.358,37 ;-2.451,68 ;-2.134,01 ;-2.141,70 ;-1.891,18 ;-2.128,10 
1171;Custos fixos;1171 - Mensalidades;-1.287,41 ;-1.563,02 ;-1.637,69 ;-1.850,47 ;-2.124,14 ;-1.942,45 ;-2.032,39 ;-2.112,81 ;-1.839,04 ;-1.845,67 ;-2.357,61 ;-2.154,09 
1172;Despesas Comerciais / Logistica/ Expedição fixas;1172 - Mensalidades;-5.005,50 ;-6.059,02 ;-6.348,45 ;-7.173,28 ;-8.234,16 ;-7.529,83 ;-7.878,51 ;-8.190,23 ;-7.128,98 ;-7.154,69 ;-11.237,07 ;-12.145,84 
1173;Despesas Comerciais / Logistica / Expedição variáveis;1173 - Comissao de Vendas Ext Pessoa Fisica; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1174;Despesas Comerciais / Logistica / Expedição variáveis;1174 - Comissao de Vendas Ext Pessoa Juridica;-99.305,39 ;-119.545,63 ;-128.742,50 ;-146.912,58 ;-170.792,39 ;-156.060,44 ;-171.875,60 ;-185.831,68 ;-163.542,46 ;-161.389,98 ;-110.836,77 ;-125.106,68 
1176;Despesas Comerciais / Logistica/ Expedição fixas;1176 - Seguros de Veiculos;-3.904,98 ;-4.726,87 ;-4.952,66 ;-5.596,14 ;-6.423,78 ;-5.874,31 ;-6.146,32 ;-6.389,50 ;-5.561,58 ;-5.581,64 ;-1.671,07 ;-1.671,07 
1177;Despesas Financeiras Tributárias;1177 - Seguro Prestamista;-274,08 ;-329,94 ;-355,33 ;-405,48 ;-471,38 ;-430,73 ;-474,37 ;-512,89 ;-451,38 ;-445,43 ; -   ; -   
1179;Custos fixos;1179 - Servico de Consultoria e Assessoria;-155.764,77 ;-344.938,78 ;-344.938,78 ;-344.938,78 ;-344.938,78 ;-344.938,78 ;-344.938,78 ;-344.938,78 ;-344.938,78 ;-344.938,78 ;-216.773,21 ;-398.877,14 
1182;Despesas Comerciais / Logistica/ Expedição fixas;1182 - PPR CCT Sind. T. T. SJDR;-4.704,19 ;-9.463,03 ;-9.463,03 ;-9.463,03 ;-9.463,03 ;-9.463,03 ;-9.463,03 ;-9.463,03 ;-9.463,03 ;-9.463,03 ; -   ; -   
